idx,state,county,muni,unique_matches,unique_counts,all_counts,muncipalcode,source
3,California,Contra Costa County,DANVILLE,[],0,0,https://codelibrary.amlegal.com/codes/danvilleca/latest/overview,codelibrary
6,California,Los Angeles County,TEMPLE CITY,"['A', 'C', 'I', 'IL', 'MU', 'OS', 'P', 'RH', 'RL', 'RM']",10,14,https://codelibrary.amlegal.com/codes/templecityca/latest/overview,codelibrary
22,Florida,Broward County,COOPER CITY,"['1', '2', 'A', 'A-1', 'B-1', 'B-2', 'B-3', 'C-1', 'C-2', 'CS', 'E-1', 'E-2', 'E-3', 'I', 'I-1', 'IV', 'OP', 'P-1', 'PCD', 'PRD', 'R-1-C', 'R-2', 'R-3', 'R-4', 'TH-1']",25,38,https://codelibrary.amlegal.com/codes/coopercity/latest/overview,codelibrary
31,Idaho,Canyon County,MIDDLETON,"['1', '2', 'A', 'B']",4,4,https://codelibrary.amlegal.com/codes/middletonid/latest/overview,codelibrary
33,Illinois,Cook County,WESTERN SPRINGS,"['1', '2', '3', '4', '5', '6', '7', '8', 'A', 'B', 'C1', 'C2', 'DT', 'MXD', 'O', 'R1', 'R2', 'R3', 'R4', 'R5', 'RB']",21,41,https://codelibrary.amlegal.com/codes/westernspringsil/latest/overview,codelibrary
34,Illinois,DuPage County,BARTLETT,"['A', 'B']",2,2,https://codelibrary.amlegal.com/codes/bartlettil/latest/overview,codelibrary
35,Illinois,DuPage County,HINSDALE,[],0,0,https://codelibrary.amlegal.com/codes/hinsdaleil/latest/overview,codelibrary
36,Illinois,Grundy County,MINOOKA,"['1', '2', '3', '4', 'A', 'B', 'B1', 'B2', 'R1', 'R1A', 'R2', 'R3', 'R4', 'R5', 'R6']",15,18,https://codelibrary.amlegal.com/codes/minookail/latest/overview,codelibrary
39,Illinois,Lake County,LINDENHURST,[],0,0,https://codelibrary.amlegal.com/codes/lindenhurstil/latest/overview,codelibrary
41,Illinois,Will County,MANHATTAN,"['1', '2', '3', '4', '5', '6', '7', '8', '9', 'A', 'A-1', 'B', 'BP', 'C-1', 'C-2', 'C-3', 'CBD', 'CR', 'ER', 'I-1', 'I-2', 'I-3', 'P', 'PP', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'S']",31,888,https://codelibrary.amlegal.com/codes/manhattanil/latest/overview,codelibrary
43,Illinois,Cook County,WINNETKA,"['1', '2', '3', '4', 'A', 'B-1', 'B-2', 'C-1', 'C-2', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5']",14,34,https://codelibrary.amlegal.com/codes/winnetka/latest/overview,codelibrary
45,Illinois,DuPage County,WINFIELD,[],0,0,https://codelibrary.amlegal.com/codes/winfieldil/latest/overview,codelibrary
46,Illinois,Jersey County,JERSEYVILLE,['A'],1,1,https://codelibrary.amlegal.com/codes/jerseyvilleil/latest/overview,codelibrary
47,Illinois,Lake County,LAKE ZURICH,"['1', '2', '3', '4', '5', '6', '7', 'A', 'B', 'B-1', 'B-2', 'B-3', 'D1', 'D2', 'D3', 'DR', 'I', 'LP', 'O-1', 'O-2', 'O-3', 'OS', 'R-1/2', 'R-3', 'R-4', 'R-5', 'R-6']",27,58,https://codelibrary.amlegal.com/codes/lakezurichil/latest/overview,codelibrary
49,Illinois,Lake County,WINTHROP HARBOR,[],0,0,https://codelibrary.amlegal.com/codes/winthropharbor/latest/overview,codelibrary
50,Illinois,Sangamon County,CHATHAM,[],0,0,https://codelibrary.amlegal.com/codes/chatham/latest/overview,codelibrary
51,Illinois,Will County,LOCKPORT,[],0,0,https://codelibrary.amlegal.com/codes/lockport/latest/overview,codelibrary
52,Illinois,Will County,MOKENA,"['1', '2', '3', '4', '5', '6', '7', '8', '9', 'A', 'A-1', 'B', 'C-1', 'C-1A', 'C-2', 'C-3', 'C-4', 'C1', 'C3', 'E-1', 'I-1', 'I-2', 'I-3', 'O-1', 'O-2', 'OR-1', 'P-1', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'TOD']",34,60,https://codelibrary.amlegal.com/codes/mokenail/latest/overview,codelibrary
53,Illinois,Cook County,GLENCOE,"['A', 'B', 'B-1', 'B-2', 'IV', 'R-A', 'R-B', 'R-C']",8,8,https://codelibrary.amlegal.com/codes/glencoe/latest/overview,codelibrary
54,Illinois,Cook County,INVERNESS,['1'],1,1,https://codelibrary.amlegal.com/codes/invernessil/latest/overview,codelibrary
66,Illinois,Will County,ROMEOVILLE,[],0,0,https://codelibrary.amlegal.com/codes/romeoville/latest/overview,codelibrary
67,Illinois,Will County,SHOREWOOD,[],0,0,https://codelibrary.amlegal.com/codes/shorewoodil/latest/overview,codelibrary
70,Indiana,Lake County,DYER,"['1', '2', '3', '4', '5', '6', '7', '8', '9', 'A', 'B', 'B-1', 'B-2', 'B-3', 'I', 'PUD', 'R-1', 'R-2', 'R-3', 'R-4', 'RD']",21,131,https://codelibrary.amlegal.com/codes/dyer/latest/overview,codelibrary
86,Michigan,Kent County,EAST GRAND RAPIDS,[],0,0,https://codelibrary.amlegal.com/codes/eastgrandrapidsmi/latest/overview,codelibrary
94,Michigan,Wayne County,GARDEN CITY,"['C-1', 'C-2', 'C-3', 'CBD', 'M-1', 'O-1', 'PD', 'PR', 'R-1', 'R-2', 'R-3']",11,11,https://codelibrary.amlegal.com/codes/gardencity/latest/overview,codelibrary
98,Minnesota,Dakota County,FARMINGTON,"['3', 'A-1', 'P/OS', 'PUD']",4,4,https://codelibrary.amlegal.com/codes/farmingtonmn/latest/overview,codelibrary
102,Missouri,St. Charles County,COTTLEVILLE,[],0,0,https://ecode360.com/CO3275,ecode360
103,Missouri,St. Charles County,O'FALLON,[],0,0,https://ecode360.com/OF3382,ecode360
104,Missouri,St. Charles County,ST. PETERS,[],0,0,https://ecode360.com/ST3438,ecode360
106,New Jersey,Atlantic County,NORTHFIELD,[],0,0,https://ecode360.com/NO0505,ecode360
110,Ohio,Cuyahoga County,BROOK PARK,"['A-1', 'A-2', 'A-5', 'A-6', 'H-1']",5,5,https://codelibrary.amlegal.com/codes/brookpark/latest/overview,codelibrary
111,Ohio,Cuyahoga County,HIGHLAND HEIGHTS,"['4', '9', 'G-B', 'O-B', 'P']",5,5,https://codelibrary.amlegal.com/codes/highlandhts/latest/overview,codelibrary
113,Ohio,Hamilton County,SPRINGFIELD,"['A', 'CO-1', 'G', 'M-1', 'M-2', 'PD', 'RR-1']",7,7,https://codelibrary.amlegal.com/codes/springfield/latest/overview,codelibrary
114,Ohio,Lake County,MENTOR,"['1', '2', '3', '4', '5', '6', '7', '8', '9', 'A', 'B', 'I', 'R-1']",13,38,https://codelibrary.amlegal.com/codes/mentor/latest/overview,codelibrary
115,Ohio,Lake County,WICKLIFFE,"['OB', 'OS']",2,2,https://codelibrary.amlegal.com/codes/wickliffe/latest/overview,codelibrary
116,Ohio,Lorain County,AMHERST,"['C-1', 'C-2', 'C-3', 'I-1', 'R-1', 'R-2', 'R-3']",7,7,https://codelibrary.amlegal.com/codes/amherst/latest/overview,codelibrary
117,Ohio,Lorain County,NORTH RIDGEVILLE,"['B-1', 'B-2', 'B-3', 'B-4', 'B-5', 'I-1', 'I-2', 'I-3', 'PCD', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5']",14,14,https://codelibrary.amlegal.com/codes/northridgeville/latest/overview,codelibrary
118,Ohio,Butler County,FAIRFIELD,"['1', '2', '3', '4', '5', '6', '7', '8', '9', 'A-1', 'B-1', 'C-1', 'C-2', 'C-2A', 'C-2B', 'C-3', 'C-3A', 'C-4', 'M-1', 'M-1A', 'M-2', 'R-1', 'R-2', 'R-3', 'R-4']",25,31,https://codelibrary.amlegal.com/codes/fairfield/latest/overview,codelibrary
119,Ohio,Cuyahoga County,SOUTH EUCLID,"['C-1', 'C-2', 'C-3', 'M-1', 'M-2', 'R-40', 'R-50', 'R-60', 'R-75', 'R-O']",10,10,https://codelibrary.amlegal.com/codes/southeuclid/latest/overview,codelibrary
121,Ohio,Hamilton County,MONTGOMERY,"['1', '2', '3', '4', '5', '6', 'A', 'B', 'C', 'E', 'OC', 'R-7']",12,18,https://codelibrary.amlegal.com/codes/montgomery/latest/overview,codelibrary
122,Ohio,Hamilton County,WYOMING,"['A', 'B', 'C-1', 'C-2', 'C-3', 'E']",6,6,https://codelibrary.amlegal.com/codes/wyoming/latest/overview,codelibrary
123,Ohio,Lorain County,AVON,"['C-1', 'C-2', 'C-3', 'C-4', 'M-1', 'M-2', 'O-1', 'O-2', 'R-1', 'R-2', 'R-3']",11,11,https://codelibrary.amlegal.com/codes/avonoh/latest/overview,codelibrary
124,Ohio,Mahoning County,STRUTHERS,"['A', 'B', 'C', 'C-1']",4,8,https://codelibrary.amlegal.com/codes/struthers/latest/overview,codelibrary
126,Ohio,Cuyahoga County,SEVEN HILLS,[],0,0,https://codelibrary.amlegal.com/codes/sevenhills/latest/overview,codelibrary
127,Ohio,Summit County,MACEDONIA,"['B', 'B-1', 'B-2', 'B-3', 'B-4', 'I', 'R', 'R-P']",8,8,https://codelibrary.amlegal.com/codes/macedonia/latest/overview,codelibrary
135,Pennsylvania,Westmoreland County,MONESSEN,[],0,0,https://ecode360.com/MO1700,ecode360
136,Rhode Island,Bristol County,BARRINGTON,[],0,0,https://ecode360.com/BA1328,ecode360
137,South Carolina,Charleston County,JAMES ISLAND,"['1', '2', '3', '4', 'A', 'B', 'C', 'I', 'O', 'PD', 'R']",11,21,https://codelibrary.amlegal.com/codes/jamesisland/latest/overview,codelibrary
142,Tennessee,Shelby County,COLLIERVILLE,"['1', '2', '3', 'A', 'B', 'CB', 'FAR', 'GC', 'GI', 'NC', 'R-1', 'R-1A', 'R-2', 'R-25', 'R-2A', 'R-3', 'R-3A', 'R-4', 'RL', 'SCC', 'T']",21,22,https://codelibrary.amlegal.com/codes/collierville/latest/overview,codelibrary
175,Utah,Davis County,FARMINGTON,"['1', '2', '3', '4', '5', '6', '7', 'A', 'B']",9,9,https://codelibrary.amlegal.com/codes/farmingtonut/latest/overview,codelibrary
177,Utah,Davis County,SOUTH WEBER,['A'],1,1,https://codelibrary.amlegal.com/codes/southweberut/latest/overview,codelibrary
179,Utah,Salt Lake County,HERRIMAN,"['A', 'A-1', 'B', 'C-1', 'C-2', 'EC', 'H', 'M-1', 'MU', 'MU-2', 'OP', 'PD', 'R-1-10', 'R-1-15', 'R-M', 'RC', 'VMU', 'W']",18,18,https://codelibrary.amlegal.com/codes/herrimanut/latest/overview,codelibrary
181,Utah,Utah County,CEDAR HILLS,[],0,0,https://codelibrary.amlegal.com/codes/cedarhillsut/latest/overview,codelibrary
184,Utah,Washington County,SANTA CLARA,['OS'],1,1,https://codelibrary.amlegal.com/codes/santaclaraut/latest/overview,codelibrary
