jurscode,county,muni,premcity,zoneauth,zoning,zoning_name
KENT,Kent,Kent,KENT,COUNTY,AZD,Agricultural
MONT,Montgomery,Laytonsville,LAYTONSVILLE,MUNICIPALITY,A,Agricultural
TALB,Talbot,Trappe,TRAPPE,MUNICIPALITY,A,Agricultural
WICO,Wicomico,Wicomico,WICOMICO,COUNTY,A-1 ,Agricultural - Rural
HARF,Harford,Harford,HARFORD,COUNTY,AG,Agricultural (Conventional Residential)
WASH,Washington,Washington,WASHINGTON,COUNTY,A (R ),Agricultural (Rural)
CHAR,Charles,Charles,CHARLES,COUNTY,AC,Agricultural Conservation
TALB,Talbot,Talbot,TALBOT,COUNTY,AC,Agricultural Conservation
DORC,Dorchester,Dorchester,DORCHESTER,COUNTY,AC-RCA,Agricultural Conservation -- Resource Conservation Area District
DORC,Dorchester,Dorchester,DORCHESTER,COUNTY,AC,Agricultural Conservation District
CARR,Carroll,Carroll,CARROLL,COUNTY,A,Agricultural District
TALB,Talbot,Easton,EASTON,MUNICIPALITY,A-1,Agricultural District
WORC,Worcester,Worcester,WORCESTER,COUNTY,A-1,Agricultural District
WORC,Worcester,Worcester,WORCESTER,COUNTY,A-2,Agricultural District
SOME,Somerset,Somerset,SOMERSET,COUNTY,AR,Agricultural Residential
GARR,Garrett,Deep Creek Lake,DEEP CREEK LAKE,MUNICIPALITY,AR,Agricultural Resource
GARR,Garrett,Mountain Lake Park,MOUNTAIN LAKE PARK,MUNICIPALITY,AR,Agricultural Resource Area
WASH,Washington,Hagerstown,HAGERSTOWN,MUNICIPALITY,AT,Agricultural Transition
DORC,Dorchester,Dorchester,DORCHESTER,COUNTY,AR,Agricultural-Residential District 
FRED,Frederick,Frederick,FREDERICK,COUNTY,A,Agriculture
QUEE,Queen Anne's,Barclay,BARCLAY,MUNICIPALITY,A,Agriculture
CECI,Cecil,Rising Sun,RISING SUN,MUNICIPALITY,A-R,Agriculture district
KENT,Kent,Millington,MILLINGTON,MUNICIPALITY,AR,Agriculture District
TALB,Talbot,St. Michaels,ST. MICHAELS,MUNICIPALITY,A,Agriculture District
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,AR,Agriculture Reserved
WORC,Worcester,Berlin,BERLIN,MUNICIPALITY,R-3,Apartment District
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,A.S.,Automotive Service
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,NC-20,avg lot size  20000
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,BSC,Bio-Science Campus Zoning District
GARR,Garrett,Oakland County seat,OAKLAND COUNTY SEAT,MUNICIPALITY,CBA,Central Business Area
TALB,Talbot,Easton,EASTON,MUNICIPALITY,CR,Central Business Commercial District
CHAR,Charles,La Plata,LA PLATA,MUNICIPALITY,CBT,Central Business Transition Zone
CECI,Cecil,Rising Sun,RISING SUN,MUNICIPALITY,CC,Central commercial district
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,CMPD,Chester Master-Planned Development District 
WASH,Washington,Hagerstown,HAGERSTOWN,MUNICIPALITY,CC-MU,City Center Mixed Use
CECI,Cecil,Charlestown,CHARLESTOWN,MUNICIPALITY,C-1,Commercial
GARR,Garrett,Oakland County seat,OAKLAND COUNTY SEAT,MUNICIPALITY,C,Commercial
GARR,Garrett,Mountain Lake Park,MOUNTAIN LAKE PARK,MUNICIPALITY,C,Commercial 
TALB,Talbot,Oxford,OXFORD,MUNICIPALITY,C-1,Commercial District
CALV,Calvert,Chesapeake Beach,CHESAPEAKE BEACH,MUNICIPALITY,C,Commercial District 
QUEE,Queen Anne's,Church Hill,CHURCH HILL,MUNICIPALITY,C,Commercial District 
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,C3,Commercial- General
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,C1,Commercial- Local
KENT,Kent,Chestertown,CHESTERTOWN,MUNICIPALITY,CM,commercial marine
CALV,Calvert,North Beach,NORTH BEACH,MUNICIPALITY,C-M ,Commercial mixed use
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,C2,Commercial- Office
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR0.5,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR0.7,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR1.0,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR1.2,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR1.5,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR1.7,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR2.0,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR2.2,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR2.5,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR2.7,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR3.0,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR3.5,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR4.0,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR5.0,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR5.2,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR6.0,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR6.2,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR7.2,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR8.0,Commercial Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CRN1.0,Commercial Residential Neighborhood
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CRN0.2,Commercial Residential Neighborhood
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CRN0.7,Commercial Residential Neighborhood
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CRT0.2,Commercial Residential Town
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CRT0.7,Commercial Residential Town
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CRT1.0,Commercial Residential Town
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CRT1.2,Commercial Residential Town
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CRT1.7,Commercial Residential Town
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CRT2.0,Commercial Residential Town
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CRT2.2,Commercial Residential Town
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CRT3.0,Commercial Residential Town
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CRT4.0,Commercial Residential Town
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,C.C.C,"Commercial, Community Core"
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,C.R.,"Commercial, Rural"
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,C.T,"Commercial, Town Center Core"
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CRN,Commercial/Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CRT,Commercial/Residential
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,CR,Commercial/Residential
KENT,Kent,Rock Hall,ROCK HALL,MUNICIPALITY,C-1,Community Commercial District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,C-2,Community Commercial Zoning District
KENT,Kent,Kent,KENT,COUNTY,CR,community residential
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,L-A-C,Comprehensive Design Zones - Subdivision - LOCAL ACTIVITY CENTER
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,M-A-C,Comprehensive Design Zones - Subdivision - MAJOR ACTIVITY CENTER
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,R-L,Comprehensive Design Zones - Subdivision - Residential Low Development
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,R-M,Comprehensive Design Zones - Subdivision - Residential Medium Development
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,R-S,Comprehensive Design Zones - Subdivision - Residential Suburban Development
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,R-U,Comprehensive Design Zones - Subdivision - Residential Urban Development
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,V-L,Comprehensive Design Zones - Subdivision - Village Low Density 
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,V-M,Comprehensive Design Zones - Subdivision - Village Medium Density
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,C2,Conservation Business
CARR,Carroll,Carroll,CARROLL,COUNTY,C,Conservation District
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,C1,Conservation Residence
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,B1,Convenience Shopping
WASH,Washington,Hagerstown,HAGERSTOWN,MUNICIPALITY,C,Conversion District 
CHAR,Charles,Charles,CHARLES,COUNTY,CER,Core Employment/Residential
CHAR,Charles,Charles,CHARLES,COUNTY,CMR,Core Mixed Residential
CHAR,Charles,Charles,CHARLES,COUNTY,CRR,Core Retail/Residential
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,CMX,coridor mixed use
HOWA,Howard,Howard,HOWARD,COUNTY,CAC,Corridor Activity Center
MONT,Montgomery,Gaithersburg,GAITHERSBURG,MUNICIPALITY,CD,Corridor Deveopment
DORC,Dorchester,Cambridge,CAMBRIDGE,MUNICIPALITY,CMU,Corridor Mixed Use (CMU) Lots
TALB,Talbot,Talbot,TALBOT,COUNTY,CP,Countryside Preservation
KENT,Kent,Kent,KENT,COUNTY,CAR,Critical Area Residential
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,D.R.1,"Density Residential, 1.0 dwelling unit per acre"
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,D.R.10.5,"Density Residential, 10.5 dwelling units per acre"
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,D.R.16,"Density Residential, 16.0 density units per acre"
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,D.R.2,"Density Residential, 2.0 dwelling units per acre"
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,D.R.3.5,"Density Residential, 3.5 dwelling units per acre"
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,D.R.5.5,"Density Residential, 5.5 dwelling units per acre"
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-2,Detached and Semi-Detached Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-4,Detached and Semi-Detached Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-1A,Detached Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-1B,Detached Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-1C,Detached Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-1D,Detached Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-1E,Detached Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-1,Detached Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-3,Detached Residential Zoning District
KENT,Kent,Chestertown,CHESTERTOWN,MUNICIPALITY,C-2,downtown commercial district
FRED,Frederick,Frederick,FREDERICK,COUNTY,DB,Downtown Commercial/Residential
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,DMX,downtown core mixed use
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,C-5,Downtown District
FRED,Frederick,Frederick,FREDERICK,COUNTY,DBO,Downtown Office Commercial
FRED,Frederick,Frederick,FREDERICK,COUNTY,DR,Downtown Residential
KENT,Kent,Chestertown,CHESTERTOWN,MUNICIPALITY,R-5,downtown residential district
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,O-EOD,East Odenton
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,EC,Educational Campus Zoning District
KENT,Kent,Kent,KENT,COUNTY,EC,Employment Center
CECI,Cecil,Cecil,CECIL,COUNTY,EMU,Employment Mixed Use
WASH,Washington,Washington,WASHINGTON,COUNTY,EC ,Environmental Conservation
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,R.C.8,Environmental Enhancement Zone
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,O-HIS,Eodenton Historic
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,E,Estate District
WORC,Worcester,Worcester,WORCESTER,COUNTY,E-1,Estate District
CALV,Calvert,Calvert,CALVERT,COUNTY,FFD,Farm and Forest District 
KENT,Kent,Chestertown,CHESTERTOWN,MUNICIPALITY,C-1,general commercial district
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,C-3,General Commercial Zoning District
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,R3,General Residence
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,R4,General Residence
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,R3-NC,General Residence Neighborhood Conservation 
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,R3-NC2,General Residence Neighborhood Conservation 2
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,R3-R,General Residence Neighborhood Revitalization
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,R4-R,General Residence Neighborhood Revitalization
WORC,Worcester,Worcester,WORCESTER,COUNTY,R-4,General Residential District 
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,GNC,Grasonville Neighorhood Commercial District 
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,GPRN,Grasonville Planned Residential Neighborhood District
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,GVC,Grasonville Village Commercial District 
CALV,Calvert,Chesapeake Beach,CHESAPEAKE BEACH,MUNICIPALITY,R-HD,High Density Residential
CECI,Cecil,Cecil,CECIL,COUNTY,RM,High Density Residential
FRED,Frederick,Frederick,FREDERICK,COUNTY,R-12,High Density Residential
FRED,Frederick,Frederick,FREDERICK,COUNTY,R-16,High Density Residential
FRED,Frederick,Frederick,FREDERICK,COUNTY,R-20,High Density Residential
HARF,Harford,Bel Air,BEL AIR,MUNICIPALITY,R-3,High Density Residential
MONT,Montgomery,Gaithersburg,GAITHERSBURG,MUNICIPALITY,R-H,High Density Residential
SOME,Somerset,Somerset,SOMERSET,COUNTY,R-3,High Density Residential
WORC,Worcester,Snow Hill,SNOW HILL,MUNICIPALITY,R-3,High Density Residential
KENT,Kent,Rock Hall,ROCK HALL,MUNICIPALITY,R-3,High Density Residential District
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,R-H,High Rise
CHAR,Charles,Charles,CHARLES,COUNTY,RH,High-Density Residential
DORC,Dorchester,Hurlock,HURLOCK,MUNICIPALITY,R-3,High-density Residential District
HOWA,Howard,Howard,HOWARD,COUNTY,HC,Historic Commercial
HOWA,Howard,Howard,HOWARD,COUNTY,HO,Historic Office
TALB,Talbot,Oxford,OXFORD,MUNICIPALITY,R-2,Historic Residential District
MONT,Montgomery,Brookeville,BROOKEVILLE,MUNICIPALITY,HVC,Historic Village Commercial
MONT,Montgomery,Brookeville,BROOKEVILLE,MUNICIPALITY,HVR,Historic Village Residential
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,H,Honeygo Area
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,HI,Honeygo Area
CHAR,Charles,Charles,CHARLES,COUNTY,HVC,Hughesville Village Core Subzone
CHAR,Charles,Charles,CHARLES,COUNTY,HVG,Hughesville Village Gateway Subzone
CHAR,Charles,Charles,CHARLES,COUNTY,HVR,Hughesville Village Residential Subzone
KENT,Kent,Kent,KENT,COUNTY,I ,Industrial
KENT,Kent,Kent,KENT,COUNTY,LDA,Industrial Critical Area
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,IMU-1,Industrial Mixed-Use Zoning District
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,I.M,"Industrial, Major "
KENT,Kent,Kent,KENT,COUNTY,IV,Intense Village
KENT,Kent,Kent,KENT,COUNTY,IVCA,Intense Village Critical Area
GARR,Garrett,Deep Creek Lake,DEEP CREEK LAKE,MUNICIPALITY,LR1,Lake Residential 1 District 
GARR,Garrett,Deep Creek Lake,DEEP CREEK LAKE,MUNICIPALITY,LR2,Lake Residential 2 District 
CECI,Cecil,Rising Sun,RISING SUN,MUNICIPALITY,LC,Light Commercial district
WASH,Washington,Hagerstown,HAGERSTOWN,MUNICIPALITY,LC,Local Conversion District 
CECI,Cecil,Cecil,CECIL,COUNTY,LDR,Low Density Residential
FRED,Frederick,Frederick,FREDERICK,COUNTY,R-1,Low Density Residential
FRED,Frederick,Frederick,FREDERICK,COUNTY,R-2,Low Density Residential
FRED,Frederick,Frederick,FREDERICK,COUNTY,R-3,Low Density Residential
MONT,Montgomery,Gaithersburg,GAITHERSBURG,MUNICIPALITY,R-A,Low Density Residential
SOME,Somerset,Somerset,SOMERSET,COUNTY,R-1,Low Density Residential
WORC,Worcester,Snow Hill,SNOW HILL,MUNICIPALITY,R-1,Low Density Residential
CALV,Calvert,Chesapeake Beach,CHESAPEAKE BEACH,MUNICIPALITY,R-LD,Low Density Residential 
HARF,Harford,Bel Air,BEL AIR,MUNICIPALITY,R-1,Low Density Residential 
KENT,Kent,Chestertown,CHESTERTOWN,MUNICIPALITY,R-3,low density residential district
KENT,Kent,Rock Hall,ROCK HALL,MUNICIPALITY,R-1,Low Density Residential District
DORC,Dorchester,Hurlock,HURLOCK,MUNICIPALITY,R-1,Low-density  Residential District
CHAR,Charles,Charles,CHARLES,COUNTY,RL,Low-Density Residential
CECI,Cecil,Cecil,CECIL,COUNTY,MH,Manufactured Home
KENT,Kent,Rock Hall,ROCK HALL,MUNICIPALITY,MC,Maritime Commercial District
CALV,Calvert,Chesapeake Beach,CHESAPEAKE BEACH,MUNICIPALITY,M,Maritime District 
KENT,Kent,Rock Hall,ROCK HALL,MUNICIPALITY,Mrec,Maritime Recreational District
SOME,Somerset,Somerset,SOMERSET,COUNTY,MRC,Maritime Residential Commercial
DORC,Dorchester,Dorchester,DORCHESTER,COUNTY,M-A-R,Maritime-Agricultural-Residential 
FRED,Frederick,Frederick,FREDERICK,COUNTY,R-4,Medium Density Residential
FRED,Frederick,Frederick,FREDERICK,COUNTY,R-5,Medium Density Residential
FRED,Frederick,Frederick,FREDERICK,COUNTY,R-6,Medium Density Residential
FRED,Frederick,Frederick,FREDERICK,COUNTY,R-8,Medium Density Residential
HARF,Harford,Bel Air,BEL AIR,MUNICIPALITY,R-2,Medium Density Residential
MONT,Montgomery,Gaithersburg,GAITHERSBURG,MUNICIPALITY,R-6,Medium Density Residential
MONT,Montgomery,Gaithersburg,GAITHERSBURG,MUNICIPALITY,R-18,Medium Density Residential
MONT,Montgomery,Gaithersburg,GAITHERSBURG,MUNICIPALITY,R-20,Medium Density Residential
MONT,Montgomery,Gaithersburg,GAITHERSBURG,MUNICIPALITY,R-90,Medium Density Residential
MONT,Montgomery,Gaithersburg,GAITHERSBURG,MUNICIPALITY,R-90 C,Medium Density Residential
MONT,Montgomery,Gaithersburg,GAITHERSBURG,MUNICIPALITY,RP-T,Medium Density Residential
SOME,Somerset,Somerset,SOMERSET,COUNTY,R-2,Medium Density Residential
WORC,Worcester,Snow Hill,SNOW HILL,MUNICIPALITY,R-2,Medium Density Residential
CHAR,Charles,Charles,CHARLES,COUNTY,RM,Medium-Density Residential 
DORC,Dorchester,Hurlock,HURLOCK,MUNICIPALITY,R-2,Medium-density Residential District
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,ME,Mercantile Exposition
CALV,Calvert,Chesapeake Beach,CHESAPEAKE BEACH,MUNICIPALITY,R-MD,Mid Density Residential 
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,M43,Middle River Employment Center
CECI,Cecil,Cecil,CECIL,COUNTY,MEA,Mineral Extraction A
CARO,Caroline,Denton ,DENTON ,MUNICIPALITY,MR,Mixed Residential
CARO,Caroline,Ridgley,RIDGLEY,MUNICIPALITY,R-2 ,Mixed Residential District
CECI,Cecil,Rising Sun,RISING SUN,MUNICIPALITY,R-2,Mixed Residential District
KENT,Kent,Rock Hall,ROCK HALL,MUNICIPALITY,R-2,Mixed Residential District
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,MX,Mixed Use
HOWA,Howard,Howard,HOWARD,COUNTY,MXD-3,Mixed Use
